price,quantity,type,timestamp
90927000,1.8,0,2024-04-28 00:01:50
90926000,0.9,0,2024-04-28 00:01:50
90990000,0.0021,1,2024-04-28 00:01:50
90991000,0.142,1,2024-04-28 00:01:50
90992000,0.142,1,2024-04-28 00:01:50
90997000,0.0002,1,2024-04-28 00:01:50
91003000,0.0002,1,2024-04-28 00:01:50
90950000,0.284,0,2024-04-28 00:01:56
90938000,0.0011,0,2024-04-28 00:01:56
90925000,0.0002,0,2024-04-28 00:01:56
90921000,0.0182,0,2024-04-28 00:01:56
90900000,0.0005,0,2024-04-28 00:01:56
90989000,0.1421,1,2024-04-28 00:01:56
90990000,0.142,1,2024-04-28 00:01:56
90991000,0.142,1,2024-04-28 00:01:56
90997000,0.0002,1,2024-04-28 00:01:56
91003000,0.0002,1,2024-04-28 00:01:56
90938000,0.0011,0,2024-04-28 00:02:01
90934000,0.328,0,2024-04-28 00:02:01
90921000,0.0182,0,2024-04-28 00:02:01
90912000,0.328,0,2024-04-28 00:02:01
90900000,0.9026,0,2024-04-28 00:02:01
90950000,0.0552,1,2024-04-28 00:02:01
90987000,0.0634,1,2024-04-28 00:02:01
90988000,0.1421,1,2024-04-28 00:02:01
90989000,0.142,1,2024-04-28 00:02:01
90990000,0.142,1,2024-04-28 00:02:01
90934000,0.3282,0,2024-04-28 00:02:06
90921000,0.0182,0,2024-04-28 00:02:06
90912000,0.328,0,2024-04-28 00:02:06
90900000,0.9026,0,2024-04-28 00:02:06
90885000,1.8001,0,2024-04-28 00:02:06
90949000,0.002,1,2024-04-28 00:02:06
90950000,0.1973,1,2024-04-28 00:02:06
90988000,0.0002,1,2024-04-28 00:02:06
90997000,0.0002,1,2024-04-28 00:02:06
91003000,0.0002,1,2024-04-28 00:02:06
90934000,0.3281,0,2024-04-28 00:02:11
90921000,0.0182,0,2024-04-28 00:02:11
90912000,0.328,0,2024-04-28 00:02:11
90900000,0.9026,0,2024-04-28 00:02:11
90885000,1.8001,0,2024-04-28 00:02:11
90948000,0.002,1,2024-04-28 00:02:11
90950000,0.1972,1,2024-04-28 00:02:11
90988000,0.0002,1,2024-04-28 00:02:11
90997000,0.0002,1,2024-04-28 00:02:11
91003000,0.0002,1,2024-04-28 00:02:11
90934000,0.0002,0,2024-04-28 00:02:16
90921000,0.0182,0,2024-04-28 00:02:16
90920000,0.3282,0,2024-04-28 00:02:16
90900000,0.0026,0,2024-04-28 00:02:16
90885000,2.7001,0,2024-04-28 00:02:16
90947000,0.0021,1,2024-04-28 00:02:16
90948000,0.142,1,2024-04-28 00:02:16
90949000,0.142,1,2024-04-28 00:02:16
90950000,0.142,1,2024-04-28 00:02:16
90988000,0.0636,1,2024-04-28 00:02:16
90934000,0.0002,0,2024-04-28 00:02:21
90921000,0.0182,0,2024-04-28 00:02:21
90920000,0.3282,0,2024-04-28 00:02:21
90900000,0.0026,0,2024-04-28 00:02:21
90886000,0.3286,0,2024-04-28 00:02:21
90946000,0.1441,1,2024-04-28 00:02:21
90947000,0.142,1,2024-04-28 00:02:21
90948000,0.142,1,2024-04-28 00:02:21
90988000,0.0002,1,2024-04-28 00:02:21
90997000,0.0002,1,2024-04-28 00:02:21
90920000,0.0002,0,2024-04-28 00:02:26
90908000,0.328,0,2024-04-28 00:02:26
90900000,0.0026,0,2024-04-28 00:02:26
90886000,0.3288,0,2024-04-28 00:02:26
90885000,0.9001,0,2024-04-28 00:02:26
90934000,0.1425,1,2024-04-28 00:02:26
90945000,0.05,1,2024-04-28 00:02:26
90947000,0.0002,1,2024-04-28 00:02:26
90988000,0.0002,1,2024-04-28 00:02:26
90997000,0.0002,1,2024-04-28 00:02:26
90920000,0.0002,0,2024-04-28 00:02:31
90908000,0.3282,0,2024-04-28 00:02:31
90900000,0.0026,0,2024-04-28 00:02:31
90886000,0.3286,0,2024-04-28 00:02:31
90885000,0.9001,0,2024-04-28 00:02:31
90933000,0.1421,1,2024-04-28 00:02:31
90934000,0.1424,1,2024-04-28 00:02:31
90935000,0.142,1,2024-04-28 00:02:31
90945000,0.05,1,2024-04-28 00:02:31
90947000,0.0002,1,2024-04-28 00:02:31
90922000,0.001,0,2024-04-28 00:02:36
90921000,0.0012,0,2024-04-28 00:02:36
90908000,0.2784,0,2024-04-28 00:02:36
90900000,0.0026,0,2024-04-28 00:02:36
90886000,2.1286,0,2024-04-28 00:02:36
90932000,0.142,1,2024-04-28 00:02:36
90933000,0.1335,1,2024-04-28 00:02:36
90934000,0.1424,1,2024-04-28 00:02:36
90935000,0.0002,1,2024-04-28 00:02:36
90945000,0.05,1,2024-04-28 00:02:36
90923000,0.001,0,2024-04-28 00:02:41
90922000,0.0011,0,2024-04-28 00:02:41
90910000,0.0728,0,2024-04-28 00:02:41
90909000,1.8002,0,2024-04-28 00:02:41
90908000,0.2784,0,2024-04-28 00:02:41
90932000,0.142,1,2024-04-28 00:02:41
90933000,0.1335,1,2024-04-28 00:02:41
90934000,0.1424,1,2024-04-28 00:02:41
90935000,0.0002,1,2024-04-28 00:02:41
90945000,0.05,1,2024-04-28 00:02:41
90924000,0.001,0,2024-04-28 00:02:46
90923000,0.0002,0,2024-04-28 00:02:46
90922000,0.3282,0,2024-04-28 00:02:46
90909000,1.8002,0,2024-04-28 00:02:46
90908000,0.2782,0,2024-04-28 00:02:46
90934000,0.1424,1,2024-04-28 00:02:46
90935000,0.0002,1,2024-04-28 00:02:46
90945000,0.05,1,2024-04-28 00:02:46
90947000,0.0002,1,2024-04-28 00:02:46
90988000,0.0002,1,2024-04-28 00:02:46
90923000,0.0002,0,2024-04-28 00:02:51
90922000,0.3282,0,2024-04-28 00:02:51
90909000,1.8002,0,2024-04-28 00:02:51
90908000,0.2782,0,2024-04-28 00:02:51
90900000,0.9026,0,2024-04-28 00:02:51
90933000,0.016,1,2024-04-28 00:02:51
90934000,0.0004,1,2024-04-28 00:02:51
90935000,0.0002,1,2024-04-28 00:02:51
90945000,0.05,1,2024-04-28 00:02:51
90947000,0.0002,1,2024-04-28 00:02:51
90924000,0.0001,0,2024-04-28 00:02:56
90922000,0.3282,0,2024-04-28 00:02:56
90909000,1.8002,0,2024-04-28 00:02:56
90908000,0.2782,0,2024-04-28 00:02:56
90900000,0.9026,0,2024-04-28 00:02:56
90933000,0.0138,1,2024-04-28 00:02:56
90934000,0.0004,1,2024-04-28 00:02:56
90935000,0.0002,1,2024-04-28 00:02:56
90945000,0.05,1,2024-04-28 00:02:56
90947000,0.0002,1,2024-04-28 00:02:56
90925000,0.1042,0,2024-04-28 00:03:02
90923000,0.1326,0,2024-04-28 00:03:02
90922000,0.3282,0,2024-04-28 00:03:02
90908000,2.0782,0,2024-04-28 00:03:02
90900000,0.9026,0,2024-04-28 00:03:02
90933000,0.0138,1,2024-04-28 00:03:02
90934000,0.0004,1,2024-04-28 00:03:02
90935000,0.0002,1,2024-04-28 00:03:02
90945000,0.05,1,2024-04-28 00:03:02
90947000,0.0002,1,2024-04-28 00:03:02
90953000,0.0952,0,2024-04-28 00:03:07
90952000,0.3281,0,2024-04-28 00:03:07
90925000,0.1019,0,2024-04-28 00:03:07
90923000,0.0002,0,2024-04-28 00:03:07
90922000,0.328,0,2024-04-28 00:03:07
91014000,0.2054,1,2024-04-28 00:03:07
91019000,0.0002,1,2024-04-28 00:03:07
91020000,0.01,1,2024-04-28 00:03:07
91021000,0.0002,1,2024-04-28 00:03:07
91031000,0.1346,1,2024-04-28 00:03:07
90954000,0.1292,0,2024-04-28 00:03:12
90953000,0.0002,0,2024-04-28 00:03:12
90952000,0.3048,0,2024-04-28 00:03:12
90925000,0.1019,0,2024-04-28 00:03:12
90922000,0.328,0,2024-04-28 00:03:12
91014000,0.2055,1,2024-04-28 00:03:12
91015000,0.142,1,2024-04-28 00:03:12
91019000,0.0002,1,2024-04-28 00:03:12
91020000,0.01,1,2024-04-28 00:03:12
91021000,0.0002,1,2024-04-28 00:03:12
90957000,0.001,0,2024-04-28 00:03:17
90956000,0.0001,0,2024-04-28 00:03:17
90953000,0.0002,0,2024-04-28 00:03:17
90952000,0.3048,0,2024-04-28 00:03:17
90925000,0.1019,0,2024-04-28 00:03:17
91012000,0.002,1,2024-04-28 00:03:17
91013000,0.1421,1,2024-04-28 00:03:17
91014000,0.2054,1,2024-04-28 00:03:17
91015000,0.142,1,2024-04-28 00:03:17
91019000,0.0002,1,2024-04-28 00:03:17
90957000,0.001,0,2024-04-28 00:03:22
90956000,0.0001,0,2024-04-28 00:03:22
